Primary code,UNS,Category,High_Cu,Low_Cu,High_Zn,Low_Zn,High_Pb,Low_Pb,High_Sn,Low_Sn,High_Ni,Low_Ni,High_Al,Low_Al,High_Mn,Low_Mn,High_Fe,Low_Fe,,,,,,
CW709R,C34200,RBS,66.5,64,33.92,30.22,2.2,1.5,0,0,0,0,0,0,0,0,0.2,0.1,,,,,,
CW710R,NA,PSS,60,58,38,32.4,0.8,0.2,0,0,3,2,1.3,0.3,2.5,1.5,0,0,,,,,,
CW710R,NA,RBS,60,58,38,32.4,0.8,0.2,0,0,3,2,1.3,0.3,2.5,1.5,0,0,,,,,,
CW710R,NA,Tube,60,58,38,32.4,0.8,0.2,0,0,3,2,1.3,0.3,2.5,1.5,0,0,,,,,,
CW711R,C48500,RBS,61.5,59.5,38.7,35.2,2.2,1.3,1,0.5,0,0,0,0,0,0,0.1,0,,,,,,
CW712R,C46420,PSS,63,61,37.8,34.8,0.6,0.2,1.5,1,0,0,0,0,0,0,0.1,0,,,,,,
CW712R,C46420,RBS,63,61,37.8,34.8,0.6,0.2,1.5,1,0,0,0,0,0,0,0.1,0,,,,,,
CW713R,C33500,RBS,59,57,39.7,31.2,0.8,0.2,0.4,0,1,0,2.3,1.3,3,1.5,1,0,,,,,,
CW714R,C48200,PSS,61,59,40.4,37.6,0.4,0.1,1,0.5,0,0,0,0,0,0,0,0,,,,,,
CW714R,C48200,RBS,61,59,40.4,37.6,0.4,0.1,1,0.5,0,0,0,0,0,0,0,0,,,,,,
CW714R,C48200,Wire,61,59,40.4,37.6,0.4,0.1,1,0.5,0,0,0,0,0,0,0,0,,,,,,
CW715R,C48200,PSS,60.7,59,40.3,37.2,0.7,0.3,0,0,0.5,0.2,0.5,0.1,0,0,0.4,0.1,,,,,,
CW716R,NA,RBS,61.5,59,40.1,35.4,0,0,0,0,0,0,1.3,0.3,1.8,0.6,0,0,,,,,,
CW716R,NA,Tube,61.5,59,40.1,35.4,0,0,0,0,0,0,1.3,0.3,1.8,0.6,0,0,,,,,,
CW717R,C46500,PSS,62,59,40.48,36.94,0,0,1,0.5,0,0,0,0,0,0,0,0,,,,,,
CW718R,C67810,PSS,59,57,41.7,37.1,0.8,0.2,0,0,0,0,1.3,0.3,1.8,0.8,0,0,,,,,,
CW718R,C67810,RBS,59,57,41.5,36.3,0.8,0.2,0,0,0,0,1.3,0.3,1.8,0.8,0,0,,,,,,
CW718R,C67810,Tube,59,57,41.5,36.3,0.8,0.2,0,0,0,0,1.3,0.3,1.8,0.8,0,0,,,,,,
CW719R,C46210,RBS,61,59,40.5,37.5,0.2,0,1,0.5,0.2,0,0,0,0,0,0.1,0,,,,,,
CW720R,C37710,RBS,59,57,41.5,36.1,2,1,0.3,0,0.6,0,0.2,0,1.5,0.5,0.3,0,,,,,,
CW721R,C37710,RBS,59,57,40.7,33.8,1.6,0.8,1,0.2,0.3,0,1.3,0.3,1.8,0.8,1.2,0.2,,,,,,
CW722R,C37710,RBS,58.5,56.5,41.5,35.6,1.6,0.8,1,0.2,0.3,0,0,0,1.8,0.8,1.2,0.2,,,,,,
CW723R,C67620,PSS,58.5,56.5,42,38,0,0,0,0,0,0,0,0,2,1,1.5,0.5,,,,,,
CW723R,C67620,RBS,58.5,56.5,42,38,0,0,0,0,0,0,0,0,2,1,1.5,0.5,,,,,,
CW723R,C67620,Tube,58.5,56.5,42,38,0,0,0,0,0,0,0,0,2,1,1.5,0.5,,,,,,
CZ104 (BS),C24000,RBS,81,79,20.9,17.9,1,0.1,0,0,0,0,0,0,0,0,0.1,0,,,,,,
