,Year,CU,TCRC,SP2,logTCRC,logSP2,logCU
Baiyin,1992,0.9444444444444444,987.505982760015,,2.9945397354598042,,-0.024823583725032152
Baiyin,1993,1.0733333333333333,959.1938700091315,643.4263428857876,2.9819063946219484,2.8084988376286404,0.030734616976168434
Baiyin,1994,0.9899583333333334,841.3371092476353,710.6444034910924,2.9249700449670133,2.851652340204639,-0.004383084174392543
Baiyin,1995,0.9980392156862745,659.2490789967804,1003.1611059604347,2.819049531735255,3.001370685573751,-0.0008523937611776163
Baiyin,1996,0.9963934426229508,839.2436749351455,694.3183006954018,2.923888076817738,2.8415586124498167,-0.0015691392668429728
Baiyin,1997,0.9666666666666667,906.3963774982449,686.8798854471715,2.9573181611584447,2.8368807987068965,-0.014723256820706347
Baiyin,1998,0.907723076923077,820.28826929231,498.08672926585473,2.9139665008743325,2.6973049707960497,-0.04204662340338437
Baiyin,1999,0.5105692307692308,557.9950901626388,452.20109928406646,2.746630377567231,2.6553316137643694,-0.2919453613096421
Baiyin,2000,0.8146,555.4588259029698,533.8081174976221,2.744651871835172,2.7273851737182913,-0.08905559425002112
Baiyin,2001,0.9149285714285714,585.971062800398,398.2247760378723,2.767876169641964,2.6001282766903815,-0.03861281002677346
Baiyin,2002,0.8606857142857143,528.7539362675177,358.9698750922221,2.723253613466596,2.5550580039260367,-0.06515540542096976
Baiyin,2003,0.8852714285714286,437.7020239493989,303.6604734259495,2.641178554810563,2.482388264785618,-0.0529235520618672
Baiyin,2004,0.8933857142857142,314.71018578087495,642.7808068011332,2.49791079933788,2.808062900411151,-0.04896099640916386
Baiyin,2005,0.8614111111111111,605.9993462162437,702.623222632848,2.7824721556269614,2.8467224997039864,-0.06478953068913515
Baiyin,2006,0.8420111111111112,654.0771892519688,1222.9212106889845,2.815629003504782,3.087398477587995,-0.07468217754737563
Baiyin,2007,0.7922222222222222,400.97019232272004,1066.9176514175442,2.6031120888523045,3.0281309002912953,-0.10115297958745935
Baiyin,2008,0.8522222222222222,289.6092544923923,870.8586548308886,2.461812435670004,2.9399476723345104,-0.06944714549034392
Baiyin,2009,0.519,484.40437246063215,733.937472228944,2.685208054634009,2.86565906179256,-0.28483264215154214
Baiyin,2010,1.0090000000000001,295.48463456469347,965.4771784642735,2.4705349021469982,2.9847420125699213,0.003891166236910573
Baiyin,2011,0.7333333333333333,344.9625421973603,1184.76825799962,2.537771939710449,3.073633410165182,-0.13469857389745624
Baiyin,2012,0.6126666666666667,377.1973518924253,910.701977977671,2.576568635118991,2.959376279832519,-0.21277574766956997
Baiyin,2013,0.8333333333333334,416.49708654295705,620.9346932352228,2.6196119678010477,2.7930459256853943,-0.0791812460476248
Baiyin,2014,0.7222222222222222,538.6579380491202,637.6917506905429,2.7313130643034063,2.8046107989023414,-0.14132915279646932
Baiyin,2015,0.75,625.7403040522361,626.0847314924467,2.796394128868779,2.796633112650421,-0.12493873660829995
Baiyin,2016,0.7777777777777778,562.2139195262345,526.1823495711269,2.7499015938480835,2.7211362758811397,-0.10914446942506803
Baiyin,2017,0.8888888888888888,523.0624830203443,756.6289598528965,2.718553571104561,2.8788829598269516,-0.05115252244738131
Baoding,1992,,987.505982760015,,2.9945397354598042,,
Baoding,1993,,959.1938700091315,643.4263428857876,2.9819063946219484,2.8084988376286404,
Baoding,1994,,841.3371092476353,710.6444034910924,2.9249700449670133,2.851652340204639,
Baoding,1995,,659.2490789967804,1003.1611059604347,2.819049531735255,3.001370685573751,
Baoding,1996,,839.2436749351455,694.3183006954018,2.923888076817738,2.8415586124498167,
Baoding,1997,,906.3963774982449,686.8798854471715,2.9573181611584447,2.8368807987068965,
Baoding,1998,,820.28826929231,498.08672926585473,2.9139665008743325,2.6973049707960497,
Baoding,1999,,557.9950901626388,452.20109928406646,2.746630377567231,2.6553316137643694,
Baoding,2000,,555.4588259029698,533.8081174976221,2.744651871835172,2.7273851737182913,
Baoding,2001,,585.971062800398,398.2247760378723,2.767876169641964,2.6001282766903815,
Baoding,2002,,528.7539362675177,358.9698750922221,2.723253613466596,2.5550580039260367,
Baoding,2003,,437.7020239493989,303.6604734259495,2.641178554810563,2.482388264785618,
Baoding,2004,,314.71018578087495,642.7808068011332,2.49791079933788,2.808062900411151,
Baoding,2005,,605.9993462162437,702.623222632848,2.7824721556269614,2.8467224997039864,
Baoding,2006,,654.0771892519688,1222.9212106889845,2.815629003504782,3.087398477587995,
Baoding,2007,,400.97019232272004,1066.9176514175442,2.6031120888523045,3.0281309002912953,
Baoding,2008,,289.6092544923923,870.8586548308886,2.461812435670004,2.9399476723345104,
Baoding,2009,,484.40437246063215,733.937472228944,2.685208054634009,2.86565906179256,
Baoding,2010,0.22,295.48463456469347,965.4771784642735,2.4705349021469982,2.9847420125699213,-0.6575773191777937
Baoding,2011,0.1685,344.9625421973603,1184.76825799962,2.537771939710449,3.073633410165182,-0.7734000947926425
Baoding,2012,0.23,377.1973518924253,910.701977977671,2.576568635118991,2.959376279832519,-0.638272163982407
Baoding,2013,0.25,416.49708654295705,620.9346932352228,2.6196119678010477,2.7930459256853943,-0.6020599913279624
Baoding,2014,0.25,538.6579380491202,637.6917506905429,2.7313130643034063,2.8046107989023414,-0.6020599913279624
Baoding,2015,0.2,625.7403040522361,626.0847314924467,2.796394128868779,2.796633112650421,-0.6989700043360187
Baoding,2016,0.25,562.2139195262345,526.1823495711269,2.7499015938480835,2.7211362758811397,-0.6020599913279624
Baoding,2017,0.3,523.0624830203443,756.6289598528965,2.718553571104561,2.8788829598269516,-0.5228787452803376
Baotou,1992,,987.505982760015,,2.9945397354598042,,
Baotou,1993,,959.1938700091315,643.4263428857876,2.9819063946219484,2.8084988376286404,
Baotou,1994,,841.3371092476353,710.6444034910924,2.9249700449670133,2.851652340204639,
Baotou,1995,0.9400000000000001,659.2490789967804,1003.1611059604347,2.819049531735255,3.001370685573751,-0.026872146400301312
Baotou,1996,0.78,839.2436749351455,694.3183006954018,2.923888076817738,2.8415586124498167,-0.10790539730951958
Baotou,1997,0.9800000000000001,906.3963774982449,686.8798854471715,2.9573181611584447,2.8368807987068965,-0.008773924307505102
Baotou,1998,0.9800000000000001,820.28826929231,498.08672926585473,2.9139665008743325,2.6973049707960497,-0.008773924307505102
Baotou,1999,0.9800000000000001,557.9950901626388,452.20109928406646,2.746630377567231,2.6553316137643694,-0.008773924307505102
Baotou,2000,1.1,555.4588259029698,533.8081174976221,2.744651871835172,2.7273851737182913,0.04139268515822508
