,Year,Secondary ratio,CU,SR,TCRC,SP2
Cologne,2003,0,0.8333333333333334,1.0,437.7020239493989,303.6604734259495
Cologne,2004,0,0.8333333333333334,1.0,314.71018578087495,642.7808068011332
Cologne,2005,0,0.8333333333333334,1.0,605.9993462162437,702.623222632848
Cologne,2006,0,0.8333333333333334,1.0,654.0771892519688,1222.9212106889845
Cologne,2007,0,0.8333333333333334,1.0,400.97019232272004,1066.9176514175442
Cologne,2008,0,0.8333333333333334,1.0,289.6092544923923,870.8586548308886
Cologne,2009,0,0.8333333333333334,1.0,484.40437246063215,733.937472228944
Cologne,2010,0,0.8333333333333334,1.0,295.48463456469347,965.4771784642735
Cologne,2011,0,0.8333333333333334,1.0,344.9625421973603,1184.76825799962
Cologne,2012,0,0.8333333333333334,1.0,377.1973518924253,910.701977977671
Cologne,2013,0,0.8333333333333334,1.0,416.49708654295705,620.9346932352228
Cologne,2014,0,0.8333333333333334,1.0,538.6579380491202,637.6917506905429
Cologne,2015,0,0.8333333333333334,1.0,625.7403040522361,626.0847314924467
Cologne,2016,0,0.8333333333333334,1.0,562.2139195262345,526.1823495711269
Cologne,2017,0,0.8333333333333334,1.0,523.0624830203443,756.6289598528965
Osnabruck,1992,0,1.0363636363636364,1.0,987.505982760015,
Osnabruck,1993,0,0.8545454545454545,1.0,959.1938700091315,643.4263428857876
Osnabruck,1994,0,0.7,1.0,841.3371092476353,710.6444034910924
Osnabruck,1995,0,0.6909090909090909,1.0,659.2490789967804,1003.1611059604347
Osnabruck,1996,0,0.6818181818181818,1.0,839.2436749351455,694.3183006954018
Osnabruck,1997,0,0.5863636363636363,1.0,906.3963774982449,686.8798854471715
Osnabruck,1998,0,0.7663636363636364,1.0,820.28826929231,498.08672926585473
Osnabruck,1999,0,0.6927272727272727,1.0,557.9950901626388,452.20109928406646
Osnabruck,2000,0,0.780909090909091,1.0,555.4588259029698,533.8081174976221
Osnabruck,2001,0,0.7245454545454546,1.0,585.971062800398,398.2247760378723
Osnabruck,2002,0,0.7527272727272727,1.0,528.7539362675177,358.9698750922221
Osnabruck,2003,0,0.7727272727272727,1.0,437.7020239493989,303.6604734259495
Osnabruck,2004,0,0.7890909090909091,1.0,314.71018578087495,642.7808068011332
Osnabruck,2005,0,0.7909090909090909,1.0,605.9993462162437,702.623222632848
Osnabruck,2006,0,0.7727272727272727,1.0,654.0771892519688,1222.9212106889845
Osnabruck,2007,0,0.7363636363636363,1.0,400.97019232272004,1066.9176514175442
Osnabruck,2008,0,0.8363636363636363,1.0,289.6092544923923,870.8586548308886
Osnabruck,2009,0,0.8,1.0,484.40437246063215,733.937472228944
Osnabruck,2010,0,1.0153846153846153,1.0,295.48463456469347,965.4771784642735
Osnabruck,2011,0,0.9615384615384616,1.0,344.9625421973603,1184.76825799962
Osnabruck,2012,0,0.9615384615384616,1.0,377.1973518924253,910.701977977671
Osnabruck,2013,0,0.9230769230769231,1.0,416.49708654295705,620.9346932352228
Osnabruck,2014,0,0.7692307692307693,1.0,538.6579380491202,637.6917506905429
Osnabruck,2015,0,0.7692307692307693,1.0,625.7403040522361,626.0847314924467
Osnabruck,2016,0,0.7692307692307693,1.0,562.2139195262345,526.1823495711269
Osnabruck,2017,0,0.7692307692307693,1.0,523.0624830203443,756.6289598528965
Fornaci di Barga,1992,0,0.5833333333333334,1.0,987.505982760015,
Fornaci di Barga,1993,0,0.6916666666666668,1.0,959.1938700091315,643.4263428857876
Fornaci di Barga,1994,0,0.75,1.0,841.3371092476353,710.6444034910924
Fornaci di Barga,1995,0,0.7916666666666666,1.0,659.2490789967804,1003.1611059604347
Fornaci di Barga,1996,0,0.7083333333333334,1.0,839.2436749351455,694.3183006954018
Fornaci di Barga,1997,0,0.7916666666666666,1.0,906.3963774982449,686.8798854471715
Fornaci di Barga,1998,0,0.7083333333333334,1.0,820.28826929231,498.08672926585473
Fornaci di Barga,1999,0,0.6875,1.0,557.9950901626388,452.20109928406646
Fornaci di Barga,2000,0,0.75,1.0,555.4588259029698,533.8081174976221
Fornaci di Barga,2001,0,0.75,1.0,585.971062800398,398.2247760378723
Fornaci di Barga,2002,0,0.7083333333333334,1.0,528.7539362675177,358.9698750922221
Fornaci di Barga,2003,0,0.6124999999999999,1.0,437.7020239493989,303.6604734259495
Fornaci di Barga,2004,0,0.8583333333333334,1.0,314.71018578087495,642.7808068011332
Fornaci di Barga,2005,0,0.8333333333333334,1.0,605.9993462162437,702.623222632848
Fornaci di Barga,2006,0,0.7962962962962963,1.0,654.0771892519688,1222.9212106889845
Fornaci di Barga,2007,0,0.6296296296296297,1.0,400.97019232272004,1066.9176514175442
Fornaci di Barga,2008,0,0.4888888888888889,1.0,289.6092544923923,870.8586548308886
Fornaci di Barga,2009,0,0.24074074074074073,1.0,484.40437246063215,733.937472228944
Fornaci di Barga,2010,0,0.06666666666666667,1.0,295.48463456469347,965.4771784642735
Fornaci di Barga,2011,0,0.06666666666666667,1.0,344.9625421973603,1184.76825799962
Fornaci di Barga,2012,0,0.07407407407407407,1.0,377.1973518924253,910.701977977671
Fornaci di Barga,2013,0,0.1814814814814815,1.0,416.49708654295705,620.9346932352228
Fornaci di Barga,2014,0,0.2222222222222222,1.0,538.6579380491202,637.6917506905429
Fornaci di Barga,2015,0,0.2222222222222222,1.0,625.7403040522361,626.0847314924467
Fornaci di Barga,2016,0,0.2222222222222222,1.0,562.2139195262345,526.1823495711269
Fornaci di Barga,2017,0,0.2222222222222222,1.0,523.0624830203443,756.6289598528965
Lacambra,1992,0,0.7,1.0,987.505982760015,
Lacambra,1993,0,0.7,1.0,959.1938700091315,643.4263428857876
Lacambra,1994,0,0.925,1.0,841.3371092476353,710.6444034910924
Lacambra,1995,0,0.8,1.0,659.2490789967804,1003.1611059604347
Lacambra,1996,0,0.85,1.0,839.2436749351455,694.3183006954018
Lacambra,1997,0,0.7136363636363636,1.0,906.3963774982449,686.8798854471715
Lacambra,1998,0,0.6454545454545454,1.0,820.28826929231,498.08672926585473
Lacambra,1999,0,0.7959999999999999,1.0,557.9950901626388,452.20109928406646
Lacambra,2000,0,0.8,1.0,555.4588259029698,533.8081174976221
Lacambra,2001,0,0.8,1.0,585.971062800398,398.2247760378723
Lacambra,2002,0,1.0,1.0,528.7539362675177,358.9698750922221
Lacambra,2003,0,1.0,1.0,437.7020239493989,303.6604734259495
Lacambra,2004,0,1.0,1.0,314.71018578087495,642.7808068011332
Lacambra,2005,0,1.0,1.0,605.9993462162437,702.623222632848
Lacambra,2006,0,1.0,1.0,654.0771892519688,1222.9212106889845
Lacambra,2007,0,1.0,1.0,400.97019232272004,1066.9176514175442
Lacambra,2008,0,1.0,1.0,289.6092544923923,870.8586548308886
Lacambra,2009,0,0.72,1.0,484.40437246063215,733.937472228944
Lacambra,2010,0,0.8,1.0,295.48463456469347,965.4771784642735
Lacambra,2011,0,1.0,1.0,344.9625421973603,1184.76825799962
Lacambra,2012,0,0.9,1.0,377.1973518924253,910.701977977671
Lacambra,2013,0,0.9,1.0,416.49708654295705,620.9346932352228
Lacambra,2014,0,0.7,1.0,538.6579380491202,637.6917506905429
Lacambra,2015,0,0.7,1.0,625.7403040522361,626.0847314924467
Lacambra,2016,0,0.85,1.0,562.2139195262345,526.1823495711269
Lacambra,2017,0,0.9,1.0,523.0624830203443,756.6289598528965
Bakirsan,1992,0,0.4166666666666667,0.4666666666666667,987.505982760015,
Bakirsan,1993,0,0.26666666666666666,0.5833333333333334,959.1938700091315,643.4263428857876
Bakirsan,1995,0,0.3333333333333333,1.0,659.2490789967804,1003.1611059604347
